,weight,stock_num,name
216,0.09,002673,西部证券
217,0.15,002624,完美世界
218,0.11,002607,中公教育
219,0.15,002602,世纪华通
220,0.23,002601,龙蟒佰利
221,0.15,002600,领益智造
222,0.83,002594,比亚迪
223,0.07,002558,巨人网络
224,0.21,002555,三七互娱
225,0.09,002508,老板电器
226,0.30,002493,荣盛石化
227,1.00,002475,立讯精密
228,0.11,002463,沪电股份
229,0.37,002460,赣锋锂业
230,0.12,002456,欧菲光
231,0.10,002422,科伦药业
232,1.07,002415,海康威视
233,0.11,002414,高德红外
234,0.29,002410,广联达
235,0.14,002384,东山精密
236,0.21,002371,北方华创
237,0.88,002352,顺丰控股
238,0.29,002311,海大集团
239,0.52,002304,洋河股份
240,0.40,002271,东方雨虹
241,0.11,002252,上海莱士
242,0.38,002241,歌尔股份
243,0.21,002236,大华股份
244,0.44,002230,科大讯飞
245,0.20,002202,金风科技
246,0.18,002179,中航光电
247,0.13,002157,正邦科技
248,0.06,002153,石基信息
249,0.06,002146,荣盛发展
250,0.60,002142,宁波银行
251,0.23,002129,中环股份
252,0.10,002120,韵达股份
253,0.20,002050,三花智控
254,0.22,002049,紫光国微
255,0.21,002044,美年健康
256,0.06,002032,苏泊尔
257,0.55,002027,分众传媒
258,0.15,002024,苏宁易购
259,0.19,002008,大族激光
260,0.22,002007,华兰生物
261,0.27,002001,新和成
262,0.21,001979,招商蛇口
263,0.17,000977,浪潮信息
264,0.15,000963,华东医药
265,0.07,000961,中南建设
266,0.15,000938,紫光股份
267,0.23,000895,双汇发展
268,0.26,000876,新希望
269,0.14,000860,顺鑫农业
270,2.51,000858,五粮液
271,0.23,000786,北新建材
272,0.15,000783,长江证券
273,0.25,000776,广发证券
274,0.20,000768,中航西飞
275,0.11,000728,国元证券
276,0.86,000725,京东方A
277,0.08,000723,美锦能源
278,0.14,000708,中信特钢
279,0.15,000703,恒逸石化
280,0.05,000671,阳光城
281,0.61,000661,长春高新
282,0.12,000656,金科股份
283,1.49,000651,格力电器
284,0.04,000627,天茂集团
285,0.18,000625,长安汽车
286,0.12,000596,古井贡酒
287,0.73,000568,泸州老窖
288,0.33,000538,云南白药
289,0.17,000425,徐工机械
290,0.51,000338,潍柴动力
291,2.15,000333,美的集团
292,0.23,000166,申万宏源
293,0.28,000157,中联重科
294,0.64,000100,TCL科技
295,0.18,000069,华侨城A
296,0.15,000066,中国长城
297,0.45,000063,中兴通讯
298,1.13,000002,万科A
299,1.08,000001,平安银行
